root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 dst 173.206.219.44
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
04:29:49.709578 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 7440:7620, ack 1, win 319, length 180
04:29:49.709691 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 7620:7656, ack 1, win 319, length 36
04:29:49.709864 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 7656:7836, ack 1, win 319, length 180
04:29:49.709989 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 7836:7872, ack 1, win 319, length 36
04:29:49.710155 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 7872:8052, ack 1, win 319, length 180
04:29:49.710241 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 8052:8088, ack 1, win 319, length 36
04:29:49.710343 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 8088:8268, ack 1, win 319, length 180
04:29:49.711363 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 8268:9168, ack 1, win 319, length 900
04:29:49.711497 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 9168:9348, ack 1, win 319, length 180
04:29:49.711575 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 9348:9384, ack 1, win 319, length 36
04:29:49.711670 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 9384:9564, ack 1, win 319, length 180
04:29:49.711776 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 9564:9744, ack 1, win 319, length 180
04:29:49.711936 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 9744:10076, ack 1, win 319, length 332
04:29:49.712050 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 10076:10256, ack 1, win 319, length 180
04:29:49.712159 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 10256:10444, ack 1, win 319, length 188
04:29:49.713371 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 10444:10632, ack 1, win 319, length 188
04:29:49.713544 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 10632:10820, ack 1, win 319, length 188
04:29:49.713672 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 10820:11008, ack 1, win 319, length 188
04:29:49.713781 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 11008:11196, ack 1, win 319, length 188
04:29:49.715293 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 11196:11384, ack 1, win 319, length 188
04:29:49.715475 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 11384:11572, ack 1, win 319, length 188
04:29:49.715604 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 11572:11760, ack 1, win 319, length 188
04:29:49.715715 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 11760:11948, ack 1, win 319, length 188
04:29:49.715822 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 11948:12136, ack 1, win 319, length 188
04:29:49.715929 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 12136:12324, ack 1, win 319, length 188
04:29:49.716037 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 12324:12512, ack 1, win 319, length 188
04:29:49.716147 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 12512:12700, ack 1, win 319, length 188
04:29:49.717283 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 12700:12888, ack 1, win 319, length 188
04:29:49.717445 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 12888:13076, ack 1, win 319, length 188
04:29:49.717564 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 13076:13264, ack 1, win 319, length 188
04:29:49.717672 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 13264:13452, ack 1, win 319, length 188
04:29:49.717780 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 13452:13640, ack 1, win 319, length 188
04:29:49.717887 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 13640:13828, ack 1, win 319, length 188
04:29:49.717994 IP lamp-s-1vcpu-1gb-tor1-01.ssh > dsl-173-206-219-44.tor.primus.ca.54505: Flags [P.], seq 13828:14016, ack 1, win 319, length 188
